Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 8.0,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,getId,Complex Method,Cyclomatic complexity of the method is 8,195
.,io.jhdf,FractalHeap,getId,Magic Number,The method contains a magic number: 6,195
.,io.jhdf,FractalHeap,getId,Magic Number,The method contains a magic number: 2,195
.,io.jhdf,FractalHeap,getId,Magic Number,The method contains a magic number: 4,195
.,io.jhdf,FractalHeap,getId,Magic Number,The method contains a magic number: 2,195
.,io.jhdf,FractalHeap,getId,Magic Number,The method contains a magic number: 2,195
.,io.jhdf,FractalHeap,getId,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4b3d1dbd,195
.,io.jhdf,FractalHeap,getSizeOfDirectBlock,Magic Number,The method contains a magic number: 2,372
.,io.jhdf,FractalHeap,toString,Long Statement,The length of the statement "return "FractalHeap [address=" + address + "` idLength="+ idLength+ "` numberOfTinyObjectsInHeap="+ numberOfTinyObjectsInHeap+ "` numberOfHugeObjectsInHeap="+ numberOfHugeObjectsInHeap+ "` numberOfManagedObjectsInHeap="+ numberOfManagedObjectsInHeap+ "]";" is 255.,386
.,io.jhdf,FractalHeap,getStartingRowsInRootIndirectBlock,Long Identifier,The length of the field startingRowsInRootIndirectBlock is 31.,413
.,io.jhdf,FractalHeap,getOffsetOfDirectBlockAllocationIteratorInManagedSpace,Long Identifier,The length of the field offsetOfDirectBlockAllocationIteratorInManagedSpace is 51.,437
.,io.jhdf,FractalHeap,getAmountOfAllocatedManagedSpaceInHeap,Long Identifier,The length of the field amountOfAllocatedManagedSpaceInHeap is 35.,441
.,io.jhdf,FractalHeap,getAddressOfManagedBlocksFreeSpaceManager,Long Identifier,The length of the field addressOfManagedBlocksFreeSpaceManager is 38.,449
.,io.jhdf,GlobalHeap,GlobalHeap,Magic Number,The method contains a magic number: 4,34
.,io.jhdf,GlobalHeap,GlobalHeap,Magic Number,The method contains a magic number: 3,34
.,io.jhdf,GlobalHeap,GlobalHeap,Magic Number,The method contains a magic number: 4,34
.,io.jhdf,GlobalHeap,GlobalHeap,Magic Number,The method contains a magic number: 8,34
.,io.jhdf,GlobalHeap,GlobalHeap,Magic Number,The method contains a magic number: 8,34
.,io.jhdf,GlobalHeap,GlobalHeap,Magic Number,The method contains a magic number: 16,34
.,io.jhdf,GroupImpl,getByPath,Magic Number,The method contains a magic number: 2,271
.,io.jhdf,GroupSymbolTableNode,GroupSymbolTableNode,Magic Number,The method contains a magic number: 8,35
.,io.jhdf,GroupSymbolTableNode,GroupSymbolTableNode,Magic Number,The method contains a magic number: 4,35
.,io.jhdf,GroupSymbolTableNode,GroupSymbolTableNode,Magic Number,The method contains a magic number: 6,35
.,io.jhdf,GroupSymbolTableNode,GroupSymbolTableNode,Magic Number,The method contains a magic number: 2,35
.,io.jhdf,GroupSymbolTableNode,GroupSymbolTableNode,Magic Number,The method contains a magic number: 2L,35
.,io.jhdf,GroupSymbolTableNode,GroupSymbolTableNode,Magic Number,The method contains a magic number: 8L,35
.,io.jhdf,GroupSymbolTableNode,GroupSymbolTableNode,Magic Number,The method contains a magic number: 16L,35
.,io.jhdf,HdfFile,HdfFile,Long Statement,The length of the statement "SymbolTableEntry ste=new SymbolTableEntry(hdfBackingStorage`sb.getRootGroupSymbolTableAddress() - sb.getBaseAddressByte());" is 123.,139
.,io.jhdf,HdfFile,HdfFile,Long Statement,The length of the statement "SymbolTableEntry ste=new SymbolTableEntry(hdfBackingStorage`sb.getRootGroupSymbolTableAddress() - sb.getBaseAddressByte());" is 123.,180
.,io.jhdf,HdfFile,nextOffset,Magic Number,The method contains a magic number: 512L,233
.,io.jhdf,HdfFile,nextOffset,Magic Number,The method contains a magic number: 2,233
.,io.jhdf,LocalHeap,LocalHeap,Long Statement,The length of the statement "int headerSize=8 + hdfBackingStorage.getSizeOfLengths() + hdfBackingStorage.getSizeOfLengths()+ hdfBackingStorage.getSizeOfOffsets();" is 133.,36
.,io.jhdf,LocalHeap,LocalHeap,Magic Number,The method contains a magic number: 8,36
.,io.jhdf,LocalHeap,LocalHeap,Magic Number,The method contains a magic number: 4,36
.,io.jhdf,LocalHeap,LocalHeap,Magic Number,The method contains a magic number: 8,36
.,io.jhdf,LocalHeap,toString,Long Statement,The length of the statement "return "LocalHeap [address=" + Utils.toHex(address) + "` version="+ version+ "` dataSegmentSize="+ dataSegmentSize+ "` offsetToHeadOfFreeList="+ offsetToHeadOfFreeList+ "` addressOfDataSegment="+ Utils.toHex(addressOfDataSegment)+ "]";" is 235.,91
.,io.jhdf,Superblock,readSuperblock,Magic Number,The method contains a magic number: 2,85
.,io.jhdf,Superblock,readSuperblock,Magic Number,The method contains a magic number: 3,85
.,io.jhdf,Superblock,readSuperblock,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6982c864,85
.,io.jhdf,Superblock,readSuperblock,Magic Number,The method contains a magic number: 2,121
.,io.jhdf,Superblock,readSuperblock,Magic Number,The method contains a magic number: 3,121
.,io.jhdf,Superblock,readSuperblock,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@242776c7,121
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 2,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 4,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 4,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 16,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 4,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 4,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 2,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Magic Number,The method contains a magic number: 4,34
.,io.jhdf,SymbolTableEntry,SymbolTableEntry,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@3f1d4618,34
.,io.jhdf,SymbolTableEntry,toString,Long Statement,The length of the statement "return "SymbolTableEntry [address=" + toHex(address) + "` linkNameOffset="+ linkNameOffset+ "` objectHeaderAddress="+ toHex(objectHeaderAddress)+ "` cacheType="+ cacheType+ "` bTreeAddress="+ toHex(bTreeAddress)+ "` nameHeapAddress="+ toHex(nameHeapAddress)+ "` linkValueOffset="+ linkValueOffset+ "]";" is 302.,110
.,io.jhdf,Utils,seekBufferToNextMultipleOfEight,Magic Number,The method contains a magic number: 8,79
.,io.jhdf,Utils,seekBufferToNextMultipleOfEight,Magic Number,The method contains a magic number: 8,79
.,io.jhdf,Utils,seekBufferToNextMultipleOfEight,Magic Number,The method contains a magic number: 8,79
.,io.jhdf,Utils,readBytesAsUnsignedInt,Complex Method,Cyclomatic complexity of the method is 10,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Magic Number,The method contains a magic number: 2,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Magic Number,The method contains a magic number: 3,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Magic Number,The method contains a magic number: 4,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Magic Number,The method contains a magic number: 5,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Magic Number,The method contains a magic number: 6,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Magic Number,The method contains a magic number: 7,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Magic Number,The method contains a magic number: 8,94
.,io.jhdf,Utils,readBytesAsUnsignedInt,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@60e28054,94
.,io.jhdf,Utils,readBytesAsUnsignedLong,Complex Method,Cyclomatic complexity of the method is 10,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Magic Number,The method contains a magic number: 2,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Magic Number,The method contains a magic number: 3,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Magic Number,The method contains a magic number: 4,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Magic Number,The method contains a magic number: 5,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Magic Number,The method contains a magic number: 6,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Magic Number,The method contains a magic number: 7,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Magic Number,The method contains a magic number: 8,157
.,io.jhdf,Utils,readBytesAsUnsignedLong,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@1fdca5c4,157
.,io.jhdf,Utils,bytesNeededToHoldNumber,Magic Number,The method contains a magic number: 8.0,264
.,io.jhdf,Utils,setBit,Magic Number,The method contains a magic number: 8,359
.,io.jhdf,Utils,setBit,Magic Number,The method contains a magic number: 8,359
.,io.jhdf,Utils,setBit,Magic Number,The method contains a magic number: 8,359
.,io.jhdf,Utils,getBit,Magic Number,The method contains a magic number: 8,372
.,io.jhdf,Utils,getBit,Magic Number,The method contains a magic number: 8,372
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field TWO_D_REFERENCE_ATTRIBUTE_NAME is 30.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field EXPECTED_2D_REFERENCE_DATA_EARLIEST is 35.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field ONE_D_REFERENCE_ATTRIBUTE_NAME is 30.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field EXPECTED_1D_REFERENCE_DATA_EARLIEST is 35.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field SCALAR_REFERENCE_ATTRIBUTE_NAME is 31.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field EXPECTED_SCALAR_REFERENCE_DATA_EARLIEST is 39.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field EXPECTED_2D_REFERENCE_DATA_LATEST is 33.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field EXPECTED_1D_REFERENCE_DATA_LATEST is 33.,101
.,io.jhdf,AttributesTest,attributeTests,Long Identifier,The length of the field EXPECTED_SCALAR_REFERENCE_DATA_LATEST is 37.,101
