Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,io.jhdf,UtilsTest,testReadingFiveBytesToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingSixBytesToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingSixBytesToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingSevenBytesToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingEightBytesToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingOneByteToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingTwoBytesToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingThreeBytesToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingFourBytesToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingEightBytesToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testCreatingSubBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testBitsToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,io.jhdf,UtilsTest,testBytesNeededToHoldNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,io.jhdf,UtilsTest,testDimensionIndexToLinearIndexExceptions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf,UtilsTest,testSetBitException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.btree,BTreeV1Test,testGroupBTreeNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,io.jhdf.btree,BTreeV1Test,testDataBTreeNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,io.jhdf.btree.record,BTreeRecordTest,testUnsupportedRecordTypesThrow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,io.jhdf.btree.record,LinkNameForIndexedGroupRecordTest,testParsingBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.checksum,ChecksumUtilsTest,testChecksumsCalculateCorrectly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.checksum,ChecksumUtilsTest,testChecksumAtEndOfBufferValidatesSuccessfully,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset.chunked,ChunkOffsetTest,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayCounterTest,testExtensibleArrayCounter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayCounterTest,testExtensibleArrayCounterWith16,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
.,io.jhdf.dataset.chunked.indexing,ExtensibleArraySecondaryBlockPointerCounter,testExtensibleArrayCounter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
.,io.jhdf.dataset.chunked.indexing,ExtensibleArraySecondaryBlockPointerCounter,testExtensibleArrayCounterWith4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
.,io.jhdf.dataset,BitfieldDatasetTest,test2DBitfieldDataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
.,io.jhdf.dataset,BitfieldDatasetTest,testScalarBitfieldDataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
.,io.jhdf.dataset,ByteShuffleChunkedDatasetTest,compressedChunkedDatasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,ChunkedDatasetTest,chunkedDatasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,ChunkedV4DatasetTest,verifyDatasets,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,ChunkedV4DatasetTest,testInvalidChunkOffsetThrows,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.dataset,ChunkedV4DatasetTest,testGettingRawChunk,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf.dataset,CompactDatasetTest,chunkedDatasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,CompressedChunkedDatasetTest,compressedChunkedDatasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,DatasetByAddressTest,scalarDatasetTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,EmptyDatasetTest,emptyDatasetTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,EnumDatasetTest,earliest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,EnumDatasetTest,latest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,FillValueDatasetTest,fillValueTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,FloatSpecialValuesTest,specialFloatValuesTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,MultidimensionalArrayDatasetTest,testGetData1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,io.jhdf.dataset,MultidimensionalArrayDatasetTest,testGetData2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,io.jhdf.dataset,MultidimensionalArrayDatasetTest,getAccessingArrayDataType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
.,io.jhdf.dataset,OddDatasetTest,compressedChunkedDatasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,OpaqueDatasetTest,testTimestampsEarliest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,io.jhdf.dataset,OpaqueDatasetTest,testTimestampsLatest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,io.jhdf.dataset,OpaqueDatasetTest,test2DStringEarliest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.dataset,OpaqueDatasetTest,test2DStringLatest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.dataset,ScalarDatasetTest,scalarDatasetTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,SlicingTest,test3DSliceIntDataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
.,io.jhdf.dataset,SlicingTest,test3DSliceFloatDataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
.,io.jhdf.dataset,SlicingTest,testInvalidSliceRequests,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,io.jhdf.dataset,StringDatasetTest,stringDataset1DTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,StringDatasetTest,test2DStringDatasetEarliest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.dataset,StringDatasetTest,test2DStringDatasetLatest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.dataset,StringDatasetTest,testUtf8FixedLengthDataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.dataset,StringDatasetTest,testUtf8VariableLengthReusedDataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.dataset,StringDatasetTest,testMultiDimensionalFixedLengthDataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.dataset,VariableLengthDatasetTest,compressedChunkedDatasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.dataset,VariableLengthDatasetTest,issue247Earliest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,io.jhdf.dataset,VariableLengthDatasetTest,issue247Latest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,io.jhdf.exceptions,ExceptionsTest,testHdfException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.exceptions,ExceptionsTest,testHdfExceptionWithWrappedException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.exceptions,ExceptionsTest,testUnsupportedHdfException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.filter,BitShuffleFilterTest,testCompareToReference,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.filter,BitShuffleFilterTest,testCompareToReference2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.filter,BitShuffleFilterTest,testCompareToReference3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.filter,BitShuffleFilterTest,testCompareToReference4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.filter,BitShuffleFilterTest,testCompareToReference5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.filter,BitShuffleFilterTest,testCompareToReference6,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf.filter,BitShuffleFilterTest,unsupportedCompressionThrows,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.filter,MissingFilterTest,testMissingFilter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf.links,LinksTest,testSoftLink,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
.,io.jhdf.links,LinksTest,testSoftLinkWithInvalidPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.links,LinksTest,testExternalLink,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
.,io.jhdf.links,LinksTest,testExternalLinkWithInvalidPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.links,LinksTest,testExternalLinkWithInvalidFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.object.datatype,FixedPointTest,datasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.object.datatype,FloatingPointTest,datasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.object.datatype,ReferenceTest,datasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf.object.datatype,StringDataTest,testNullTerminated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.object.datatype,StringDataTest,testNullTerminatedWithFullBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.object.datatype,StringDataTest,testNullPadded,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.object.datatype,StringDataTest,testSpacePadded,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.object.datatype,StringDataTest,testNullPaddedEmptyString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.object.datatype,StringDataTest,testSpacePaddedEmptyString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf.object.message,AttributeMessageV1Test,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf.object.message,AttributeMessageV3Test,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf.object.message,FillValueOldMessageTest,testCreatingAndReadingMessage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.object.message,ObjectModificationTimeMessageTest,testObjectModificationTimeMessage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf.attribute,CompoundScalarAttributeTest,testReadAttribute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
