Project Name,Package Name,Architecture Smell,Cause of the Smell
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.btree; io.jhdf.dataset.chunked; io.jhdf
.,io.jhdf.btree,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BTreeV1; BTreeV1Data; BTreeV1Data.BTreeV1DataLeafNode; BTreeV1Data.BTreeV1DataNonLeafNode; BTreeV1Group; BTreeV1Group.BTreeV1GroupLeafNode; BTreeV1Group.BTreeV1GroupNonLeafNode; BTreeV1Test]; [BTreeV2]. LCC (Lack of Component Cohesion) = 0.22
.,io.jhdf.dataset.chunked,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.jhdf.filter
.,io.jhdf.dataset.chunked,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Chunk; ChunkedDatasetBase; ChunkedDatasetV3; ChunkedDatasetV4; ChunkOffset; ChunkProperties; ChunkOffsetTest]; [ChunkedDatasetBase.FilterPipelineLazyInitializer]; [ChunkedDatasetV3.ChunkLookupLazyInitializer]; [ChunkedDatasetV4.ChunkLookupLazyInitializer]; [DatasetInfo]. LCC (Lack of Component Cohesion) = 0.45
.,io.jhdf.dataset.chunked.indexing,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BTreeIndex; ChunkIndex; EmptyChunkIndex; ExtensibleArrayIndex; FixedArrayIndex; SingleChunkIndex; ExtensibleArrayCounterTest; ExtensibleArraySecondaryBlockPointerCounter; ChunkImpl]; [ExtensibleArrayIndex.ExtensibleArrayIndexBlock]; [ExtensibleArrayIndex.ExtensibleArrayDataBlock]; [ExtensibleArrayIndex.ExtensibleArraySecondaryBlock]; [ExtensibleArrayIndex.ExtensibleArrayCounter]; [ExtensibleArrayIndex.ExtensibleArraySecondaryBlockPointerCounter]; [FixedArrayIndex.FixedArrayDataBlock]. LCC (Lack of Component Cohesion) = 0.47
.,io.jhdf.dataset,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
.,io.jhdf.dataset,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CompactDataset; DatasetBase; DatasetReader; VariableLengthDatasetReader; CompoundDatasetReader; ContiguousDatasetImpl; GlobalHeapId]; [DatasetLoader; DatasetByAddressTest; DatasetLoaderTest; NoParent]; [EnumDatasetReader]; [BitfieldDatasetTest]; [BitshuffleDatasetTest]; [ByteShuffleChunkedDatasetTest]; [ChunkedDatasetTest]; [ChunkedV4DatasetTest]; [CompactDatasetTest]; [CompoundDatasetTest]; [CompressedChunkedDatasetTest]; [DatasetLoaderTest.UnknownDataLayoutMessage]; [EmptyDatasetTest]; [EnumDatasetTest]; [FillValueDatasetTest]; [FloatSpecialValuesTest]; [Lz4DatasetTest]; [MultidimensionalArrayDatasetTest]; [OddDatasetTest]; [OpaqueDatasetTest]; [ScalarDatasetTest]; [SlicingTest]; [StringDatasetTest]; [VariableLengthDatasetTest]. LCC (Lack of Component Cohesion) = 0.73
.,io.jhdf.examples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PrintTree; PrintTreeTest]; [RawChunkAccess; RawChunkAccessTest]; [ReadAttribute; ReadAttributeTest]; [ReadDataset; ReadDatasetTest]; [ReadFilters; ReadFiltersTest]; [TestAllFiles; TestAllFilesBase; TestAllFilesInMemory]. LCC (Lack of Component Cohesion) = 0.46
.,io.jhdf.filter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitShuffleFilter; Filter; FilterPipeline; FletcherChecksumFilter; Lz4Filter; LzfFilter; PipelineFilterWithData; BitShuffleFilterTest; Lz4FilterTest; ByteShuffleFilter; ByteShuffleFilterTest; DeflatePipelineFilter; DeflatePipelineFilterTest]; [FilterManager]; [MissingFilterTest]. LCC (Lack of Component Cohesion) = 0.2
.,io.jhdf.links,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractLink; ExternalLink; SoftLink; LinksTest]; [ExternalLink.ExternalLinkTargetLazyInitializer]; [SoftLink.LinkTargetLazyInitializer]. LCC (Lack of Component Cohesion) = 0.5
.,io.jhdf.object.datatype,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.jhdf.dataset
.,io.jhdf.object.datatype,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArrayDataType; DataType; EnumDataType; FixedPoint; FloatingPoint; OpaqueDataType; OrderedDataType; Reference; StringData; VariableLength; FixedPointTest; FloatingPointTest; ReferenceTest; StringDataTest; BitField; CompoundDataType; CompoundDataType.CompoundDataMember]; [Reference.ReferenceType]; [StringData.PaddingType]; [StringData.StringPaddingHandler]; [StringData.NullTerminated]; [StringData.NullPadded]; [StringData.SpacePadded]. LCC (Lack of Component Cohesion) = 0.3
.,io.jhdf.object.message,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
.,io.jhdf.storage,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.jhdf
